article_id,column1,column2,column3,column4
6941211, Individuals or households||| Civil Society- sub-national or local||| Civil Society- international/multinational/national, Institutional|||Behavioural/cultural, General climate impacts||| No information or not assessed1, Education||| No information or not assessed2
6941212, Individuals or households||| Civil Society- sub-national or local,Behavioural/cultural, Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat||| Other1, Other2
6941213, Individuals or households||| Other,Behavioural/cultural||| Institutional||| Technological/infrastructural, Extreme precipitation and inland flooding||| Drought|||Sea level rise, Gender equality||| Food security||| Work and economic growth
6941214, National government||| Individuals or households||| Local government||| Other, Technological/infrastructural||| Ecosystem-based||| Institutional|||Behavioural/cultural, Drought||| Extreme precipitation and inland flooding||| Other1, Other2||| Health & wellbeing||| Food security||| Sustainable cities & communities||| Work and economic growth|||Poverty
6941215, Civil Society- international/multinational/national||| Individuals or households||| National government,Behavioural/cultural, Drought||| Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat||| Other1||| No information or not assessed1, Food security|||Poverty||| No information or not assessed2
6941216, Civil Society- international/multinational/national||| Civil Society- sub-national or local||| Individuals or households||| Local government||| National government||| Sub-national government|||International or multinational governance institutions, Institutional||| Technological/infrastructural, Other1,Poverty||| Food security||| Health & wellbeing||| Work and economic growth
6941217, Local government||| Individuals or households, Technological/infrastructural||| Ecosystem-based|||Behavioural/cultural, Extreme precipitation and inland flooding, Food security||| Health & wellbeing||| Consumption & production
6941218, Individuals or households||| Local government||| Private sector corporations,Behavioural/cultural||| Technological/infrastructural, Other1||| General climate impacts, Food security|||Poverty||| Work and economic growth
6941220, Individuals or households||| Local government|||International or multinational governance institutions, Technological/infrastructural||| Institutional|||Behavioural/cultural, General climate impacts|||Sea level rise||| Other1, Gender equality||| Clean water & sanitation||| Food security|||Poverty||| Work and economic growth
6941221, Individuals or households||| Civil Society- sub-national or local, Technological/infrastructural|||Behavioural/cultural, Extreme precipitation and inland flooding||| Other1, Industry/innovation/technology||| Health & wellbeing||| Sustainable cities & communities|||Poverty||| Food security||| Work and economic growth||| Education
6941223, National government||| Individuals or households||| Local government, Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural||| Institutional, Drought||| Other1||| General climate impacts||| Extreme precipitation and inland flooding, Consumption & production||| Health & wellbeing|||Poverty||| Work and economic growth||| Food security
6941224, Civil Society- international/multinational/national||| Civil Society- sub-national or local||| Individuals or households||| Local government||| National government, Ecosystem-based||| Institutional, Extreme precipitation and inland flooding||| Other1, Food security|||Poverty||| Sustainable cities & communities||| Terrestrial & freshwater ecosystem services||| Clean water & sanitation
6941225, Individuals or households, Ecosystem-based, Drought, Food security
6941226, Individuals or households, Technological/infrastructural, Extreme precipitation and inland flooding|||Sea level rise, Sustainable cities & communities||| Health & wellbeing
6941227, Private sector SMEs, Technological/infrastructural|||Behavioural/cultural||| Institutional,Sea level rise||| Precipitation variability, Consumption & production
6941228, Individuals or households,Behavioural/cultural, Drought, Other2
6941230, Individuals or households,Behavioural/cultural||| Institutional, Drought||| Precipitation variability, Food security|||Poverty||| Work and economic growth
6941231, Local government||| Individuals or households||| Other, Technological/infrastructural||| Institutional|||Behavioural/cultural, Drought||| Extreme precipitation and inland flooding||| Precipitation variability,Poverty||| Food security||| Work and economic growth||| Education||| Sustainable cities & communities||| Peace justice & strong institutions
6941232, Individuals or households||| Civil Society- sub-national or local,Behavioural/cultural||| Technological/infrastructural, Extreme precipitation and inland flooding|||Sea level rise, Food security||| Health & wellbeing|||Poverty||| Sustainable cities & communities||| Consumption & production||| Education||| Work and economic growth
6941233, Individuals or households||| Civil Society- sub-national or local,Behavioural/cultural, Precipitation variability, Food security||| Clean water & sanitation||| Work and economic growth
6941234, National government||| Civil Society- international/multinational/national, Institutional, Drought|||Sea level rise||| Extreme precipitation and inland flooding||| Other1, Consumption & production||| Sustainable cities & communities||| Work and economic growth||| Food security||| Health & wellbeing
6941235, National government|||International or multinational governance institutions||| Civil Society- sub-national or local||| Local government, Ecosystem-based||| Institutional|||Behavioural/cultural||| Technological/infrastructural, General climate impacts||| Other1||| Drought||| Extreme precipitation and inland flooding||| Precipitation variability, Consumption & production||| Food security||| Terrestrial & freshwater ecosystem services||| Sustainable cities & communities||| Clean water & sanitation|||Poverty
6941236, Local government, Institutional, Extreme precipitation and inland flooding|||Sea level rise||| Other1, Sustainable cities & communities||| Marine & coastal ecosystem services
6941237, Individuals or households||| National government, Technological/infrastructural|||Behavioural/cultural, Precipitation variability||| Drought||| Extreme precipitation and inland flooding||| Other1||| Increased frequency and intensity of extreme heat, Food security|||Poverty||| Terrestrial & freshwater ecosystem services
6941238, Individuals or households||| Local government, Technological/infrastructural|||Behavioural/cultural||| Institutional, Drought||| Extreme precipitation and inland flooding||| General climate impacts, Education||| Health & wellbeing||| Sustainable cities & communities||| Inequalities (Other than gender)|||Poverty||| Gender equality||| Other2
6941239, Individuals or households,Behavioural/cultural||| Technological/infrastructural, General climate impacts||| Precipitation variability||| Loss of Arctic sea ice, Consumption & production||| Food security||| Gender equality||| Terrestrial & freshwater ecosystem services||| Work and economic growth||| Health & wellbeing
6941240, Civil Society- international/multinational/national||| Civil Society- sub-national or local, Technological/infrastructural, Other1||| General climate impacts, Energy security||| Gender equality|||Poverty||| Clean water & sanitation||| Health & wellbeing
6941241, Individuals or households,Behavioural/cultural||| Technological/infrastructural, Drought||| Extreme precipitation and inland flooding, Gender equality
6941244, Civil Society- sub-national or local||| Individuals or households||| Other||| National government||| Local government,Behavioural/cultural||| Institutional, Other1||| Extreme precipitation and inland flooding||| General climate impacts, Food security||| Inequalities (Other than gender)||| Peace justice & strong institutions|||Poverty||| Terrestrial & freshwater ecosystem services||| Health & wellbeing
6941245, Individuals or households||| National government||| Civil Society- sub-national or local, Ecosystem-based|||Behavioural/cultural||| Institutional, General climate impacts||| No information or not assessed1||| Extreme precipitation and inland flooding||| Other1||| Loss of Arctic sea ice||| Increased frequency and intensity of extreme heat, Food security||| Health & wellbeing|||Poverty||| Inequalities (Other than gender)||| Sustainable cities & communities||| Clean water & sanitation
6941246, Individuals or households||| Sub-national government,Behavioural/cultural, Increased frequency and intensity of extreme heat, Health & wellbeing||| Gender equality||| Inequalities (Other than gender)
6941247, Individuals or households,Behavioural/cultural||| Technological/infrastructural, Increased frequency and intensity of extreme heat, Health & wellbeing
6941248, Local government||| Sub-national government||| Other||| Private sector corporations||| National government, Institutional||| Technological/infrastructural, General climate impacts||| Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat||| Other1, Health & wellbeing||| Industry/innovation/technology||| Clean water & sanitation||| Other2||| Inequalities (Other than gender)
6941249, Local government||| Individuals or households||| Sub-national government||| Civil Society- sub-national or local||| Other, Institutional||| Technological/infrastructural|||Behavioural/cultural, Increased frequency and intensity of extreme heat||| Other1, Health & wellbeing||| Inequalities (Other than gender)|||Poverty||| Other2
6941250, Other||| Sub-national government||| National government||| Individuals or households||| Local government, Ecosystem-based||| Institutional||| Technological/infrastructural, Drought||| Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat||| General climate impacts||| Precipitation variability, Clean water & sanitation||| Consumption & production||| Health & wellbeing||| Food security||| Inequalities (Other than gender)||| Terrestrial & freshwater ecosystem services|||Poverty||| Work and economic growth
6941251, Civil Society- sub-national or local||| Individuals or households,Behavioural/cultural, Precipitation variability, Food security||| Clean water & sanitation
6941252, Individuals or households||| Local government||| Civil Society- sub-national or local, Institutional|||Behavioural/cultural||| Ecosystem-based,Sea level rise||| Extreme precipitation and inland flooding||| General climate impacts, Health & wellbeing||| Clean water & sanitation||| Education||| Food security
6941255, Individuals or households, No information or not assessed, Other1||| Extreme precipitation and inland flooding, Health & wellbeing
6941256, Individuals or households||| National government,Behavioural/cultural||| Ecosystem-based,Sea level rise, Peace justice & strong institutions||| Sustainable cities & communities||| Inequalities (Other than gender)
6941258, Individuals or households||| Local government||| Civil Society- international/multinational/national, Technological/infrastructural|||Behavioural/cultural||| Institutional, General climate impacts||| Other1|||Sea level rise||| Extreme precipitation and inland flooding, Health & wellbeing||| Sustainable cities & communities||| Work and economic growth|||Poverty
6941260, Local government||| Individuals or households||| National government||| Sub-national government||| Individuals or households||| National government,Behavioural/cultural||| Institutional, Extreme precipitation and inland flooding|||Sea level rise, Health & wellbeing||| Other2|||  Inequalities (Other than gender)||| Sustainable cities & communities
6941261,No information or not assessed3, No information or not assessed, No information or not assessed1, No information or not assessed2
6941262, Individuals or households,Behavioural/cultural||| Institutional, Extreme precipitation and inland flooding, Health & wellbeing|||Poverty||| Work and economic growth
6941263, Individuals or households,Behavioural/cultural||| Technological/infrastructural, Increased frequency and intensity of extreme heat||| General climate impacts, Health & wellbeing
6941267, Individuals or households,Behavioural/cultural, General climate impacts, Health & wellbeing
6941269, Local government||| Sub-national government||| National government||| Civil Society- international/multinational/national, Institutional, General climate impacts, Health & wellbeing|||Poverty
6941271, National government, Institutional, General climate impacts||| Increased frequency and intensity of extreme heat||| Precipitation variability, Health & wellbeing||| Inequalities (Other than gender)||| Gender equality
6941274, Individuals or households||| Other||| Local government,Behavioural/cultural||| Institutional||| Technological/infrastructural, Increased frequency and intensity of extreme heat, Health & wellbeing||| Inequalities (Other than gender)|||Poverty||| Sustainable cities & communities
6941275, Individuals or households||| Private sector corporations||| Private sector SMEs,Behavioural/cultural||| Technological/infrastructural, Increased frequency and intensity of extreme heat, Work and economic growth||| Health & wellbeing
6941277, Other||| Local government||| Individuals or households||| National government, Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based, Increased frequency and intensity of extreme heat, Health & wellbeing||| Energy security
6941279, Individuals or households||| Civil Society- sub-national or local,Behavioural/cultural||| Ecosystem-based||| Institutional||| Technological/infrastructural,Sea level rise||| Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat, Health & wellbeing||| Sustainable cities & communities
6941280, Local government||| Individuals or households, Institutional|||Behavioural/cultural, Other1, Health & wellbeing
6941283, Civil Society- international/multinational/national||| Civil Society- sub-national or local||| Individuals or households, Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based, Extreme precipitation and inland flooding|||Sea level rise||| General climate impacts, Marine & coastal ecosystem services|||Poverty||| Sustainable cities & communities||| No information or not assessed2
6941284, Local government||| National government||| Sub-national government|||International or multinational governance institutions||| Civil Society- international/multinational/national||| Civil Society- sub-national or local, Institutional, Increased frequency and intensity of extreme heat||| General climate impacts|||Sea level rise, Health & wellbeing||| Sustainable cities & communities
6941285, Individuals or households, Institutional||| Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based, Extreme precipitation and inland flooding, Sustainable cities & communities||| Health & wellbeing||| Food security||| Work and economic growth||| Consumption & production
6941287, Individuals or households,Behavioural/cultural, Increased frequency and intensity of extreme heat, Health & wellbeing
6941289, Individuals or households||| Local government, Technological/infrastructural, Drought||| Extreme precipitation and inland flooding, Clean water & sanitation||| Energy security|||Poverty
6941290, National government||| Local government||| Other, Institutional||| Technological/infrastructural, Drought||| General climate impacts||| Increased frequency and intensity of extreme heat, Food security||| Health & wellbeing||| Work and economic growth
6941292, Individuals or households, Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural, Precipitation variability||| Drought||| General climate impacts||| Increased frequency and intensity of extreme heat||| Extreme precipitation and inland flooding, Clean water & sanitation||| Food security||| Consumption & production||| Inequalities (Other than gender)||| Work and economic growth||| Health & wellbeing||| Gender equality|||Poverty
6941293, Individuals or households,Behavioural/cultural||| Technological/infrastructural||| Institutional, Increased frequency and intensity of extreme heat||| Extreme precipitation and inland flooding||| General climate impacts, Health & wellbeing||| Sustainable cities & communities||| Clean water & sanitation||| Education||| Energy security||| Food security
6941294, Individuals or households||| Civil Society- sub-national or local,Behavioural/cultural||| Technological/infrastructural, Increased frequency and intensity of extreme heat, Health & wellbeing
7850907, Civil Society- international/multinational/national||| Individuals or households||| National government||| Civil Society- sub-national or local, Technological/infrastructural||| Ecosystem-based, Precipitation variability||| Drought||| General climate impacts||| Extreme precipitation and inland flooding, Food security|||Poverty
7850908, Individuals or households,Behavioural/cultural||| Ecosystem-based||| Technological/infrastructural, General climate impacts, Consumption & production||| Food security
7850910, Individuals or households,Behavioural/cultural||| Ecosystem-based, General climate impacts||| Drought||| Extreme precipitation and inland flooding, Health & wellbeing||| Sustainable cities & communities||| Work and economic growth|||Poverty||| Food security
7850911, National government||| Other, Ecosystem-based||| Technological/infrastructural||| Institutional, Extreme precipitation and inland flooding||| Drought||| General climate impacts, Food security||| Clean water & sanitation||| Marine & coastal ecosystem services||| Terrestrial & freshwater ecosystem services
7850913, National government||| Individuals or households||| Other, Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural, Precipitation variability||| Increased frequency and intensity of extreme heat||| Drought, Food security||| Clean water & sanitation|||Poverty
7850914, Individuals or households||| Local government,Behavioural/cultural||| Institutional||| Technological/infrastructural||| Ecosystem-based, General climate impacts||| Drought||| Precipitation variability, Peace justice & strong institutions||| Terrestrial & freshwater ecosystem services||| Food security||| Clean water & sanitation|||Poverty||| Inequalities (Other than gender)
7850915, Individuals or households,Behavioural/cultural, No information or not assessed1||| Drought||| General climate impacts, Gender equality||| Food security|||Poverty||| Inequalities (Other than gender)
7850916, National government|||International or multinational governance institutions, Institutional, General climate impacts||| No information or not assessed1, Other2
7850917, Individuals or households, Institutional||| Ecosystem-based, Drought||| Extreme precipitation and inland flooding||| General climate impacts||| Precipitation variability, Food security||| Health & wellbeing||| Clean water & sanitation||| Terrestrial & freshwater ecosystem services|||Poverty
7850918, Local government||| National government||| Civil Society- sub-national or local||| Individuals or households, Institutional||| Technological/infrastructural, Extreme precipitation and inland flooding, Sustainable cities & communities||| Clean water & sanitation||| Health & wellbeing|||Poverty
7850919, Individuals or households||| National government||| Civil Society- sub-national or local,Behavioural/cultural||| Ecosystem-based, General climate impacts||| Drought||| Extreme precipitation and inland flooding||| Precipitation variability, Food security||| No information or not assessed2
7850920, Individuals or households||| Civil Society- international/multinational/national, Ecosystem-based|||Behavioural/cultural, Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat||| Drought||| General climate impacts, Food security|||Poverty||| Clean water & sanitation||| Health & wellbeing
7850923, National government, Technological/infrastructural|||Behavioural/cultural,Sea level rise||| Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat, Clean water & sanitation||| Sustainable cities & communities
7850924, Civil Society- international/multinational/national, Technological/infrastructural, Extreme precipitation and inland flooding, Sustainable cities & communities|||Poverty||| Food security
7850925, Individuals or households,Behavioural/cultural||| Technological/infrastructural, Increased frequency and intensity of extreme heat||| Drought||| Precipitation variability||| Other1, Food security||| Health & wellbeing||| Energy security||| Consumption & production||| Work and economic growth
7850926, Local government||| Civil Society- sub-national or local||| Private sector corporations||| Sub-national government||| Individuals or households||| Private sector SMEs, Institutional|||Behavioural/cultural||| Ecosystem-based||| Technological/infrastructural, Increased frequency and intensity of extreme heat||| Precipitation variability||| Other1||| General climate impacts, Work and economic growth||| Terrestrial & freshwater ecosystem services||| Sustainable cities & communities||| Health & wellbeing||| Food security
7850927, Individuals or households,Behavioural/cultural, General climate impacts||| Precipitation variability, Food security||| Consumption & production|||Poverty||| Work and economic growth
7850928, Civil Society- sub-national or local||| Individuals or households, Ecosystem-based|||Behavioural/cultural, General climate impacts, Food security||| Sustainable cities & communities||| Consumption & production||| Work and economic growth
7850929, Private sector corporations||| Civil Society- sub-national or local, Ecosystem-based||| Institutional|||Behavioural/cultural||| Technological/infrastructural, Drought||| General climate impacts, Consumption & production||| Food security
7850932, Individuals or households,Behavioural/cultural||| Ecosystem-based, Drought, Food security
7850933, Local government||| Individuals or households, Technological/infrastructural|||Behavioural/cultural, Extreme precipitation and inland flooding||| Precipitation variability, Health & wellbeing
7850935, Individuals or households||| Local government||| Civil Society- sub-national or local, Institutional|||Behavioural/cultural, General climate impacts, Food security||| Consumption & production||| Health & wellbeing
7850936, Individuals or households, Ecosystem-based|||Behavioural/cultural||| Technological/infrastructural, Drought||| General climate impacts, Consumption & production||| Food security|||Poverty||| Work and economic growth
7850937, Individuals or households||| Civil Society- sub-national or local,Behavioural/cultural, Drought||| Extreme precipitation and inland flooding||| General climate impacts||| Precipitation variability,Poverty||| Sustainable cities & communities||| Food security
7850939, Individuals or households,Behavioural/cultural||| Institutional, Other1||| Precipitation variability||| General climate impacts, Food security||| Consumption & production||| Energy security||| Work and economic growth
7850940, Individuals or households, Technological/infrastructural|||Behavioural/cultural, General climate impacts||| Precipitation variability||| Extreme precipitation and inland flooding, Food security
7850941, Individuals or households, Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural, Drought||| Extreme precipitation and inland flooding||| General climate impacts, Clean water & sanitation||| Consumption & production||| Food security
7850942, National government|||International or multinational governance institutions||| Civil Society- international/multinational/national, Institutional||| Technological/infrastructural||| Ecosystem-based, General climate impacts|||Sea level rise||| Drought, Other2||| Sustainable cities & communities||| Clean water & sanitation||| Food security
7850943, Private sector corporations||| Private sector SMEs, Technological/infrastructural, General climate impacts, Consumption & production||| No information or not assessed2
7850944, National government||| Local government||| Sub-national government, Institutional, Increased frequency and intensity of extreme heat||| General climate impacts, Health & wellbeing||| Energy security
7850946, National government||| Local government||| Individuals or households, Technological/infrastructural, Extreme precipitation and inland flooding, Health & wellbeing
7850947, Individuals or households,Behavioural/cultural, General climate impacts, Consumption & production
7850948, Local government||| Sub-national government, Institutional,Sea level rise||| Extreme precipitation and inland flooding||| General climate impacts,Poverty||| Inequalities (Other than gender)||| Sustainable cities & communities
7850952, Local government||| Civil Society- sub-national or local||| Sub-national government||| Private sector SMEs, Institutional|||Behavioural/cultural||| Technological/infrastructural, Drought||| Increased frequency and intensity of extreme heat||| Other1||| Precipitation variability, Clean water & sanitation||| Food security||| Terrestrial & freshwater ecosystem services||| Consumption & production||| Sustainable cities & communities
7850953, Private sector corporations||| Private sector SMEs||| Individuals or households, Technological/infrastructural, Drought||| General climate impacts||| Increased frequency and intensity of extreme heat||| Other1, Clean water & sanitation
7850956, National government||| Sub-national government||| Local government||| Private sector corporations||| Private sector SMEs, Technological/infrastructural||| Institutional, Rising ocean temperature and ocean acidification|||Sea level rise||| Extreme precipitation and inland flooding||| Loss of Arctic sea ice, Sustainable cities & communities||| Other2
7850959, Civil Society- sub-national or local||| Local government||| Sub-national government||| National government||| Individuals or households||| Private sector corporations, Institutional, General climate impacts||| Rising ocean temperature and ocean acidification, Food security||| Health & wellbeing|||Poverty
7850961, Local government||| Sub-national government, Institutional, General climate impacts, Sustainable cities & communities
7850963, Individuals or households||| Sub-national government||| Private sector SMEs,Behavioural/cultural||| Technological/infrastructural, General climate impacts, Food security
7850971, Individuals or households||| Local government||| Civil Society- sub-national or local||| Private sector SMEs,Behavioural/cultural||| Technological/infrastructural||| Institutional||| Ecosystem-based, Drought, Work and economic growth||| Sustainable cities & communities||| Health & wellbeing||| Terrestrial & freshwater ecosystem services
7850972, Local government||| Civil Society- international/multinational/national, Institutional, General climate impacts, Sustainable cities & communities
7850974, Individuals or households,Behavioural/cultural, Increased frequency and intensity of extreme heat||| General climate impacts, Sustainable cities & communities||| Work and economic growth
7850979, Individuals or households||| Local government,Behavioural/cultural||| Technological/infrastructural, Loss of Arctic sea ice||| General climate impacts||| Other1, Food security||| Health & wellbeing||| Terrestrial & freshwater ecosystem services||| Marine & coastal ecosystem services|||Poverty
7850983, Local government, Institutional, General climate impacts, No information or not assessed2
7851006,International or multinational governance institutions, Institutional, General climate impacts||| Precipitation variability||| Increased frequency and intensity of extreme heat||| Drought||| No information or not assessed1,Poverty||| Health & wellbeing||| Food security||| Sustainable cities & communities||| No information or not assessed2
7851007, Individuals or households||| Private sector SMEs||| Other, Technological/infrastructural||| Institutional|||Behavioural/cultural,Sea level rise||| Rising ocean temperature and ocean acidification||| Loss of Arctic sea ice||| Other1||| General climate impacts, Work and economic growth||| Consumption & production||| Industry/innovation/technology
7851010, Private sector SMEs||| National government||| Local government||| Private sector corporations||| Sub-national government, Technological/infrastructural|||Behavioural/cultural||| Institutional, Drought, Clean water & sanitation||| Consumption & production
7851011, Other||| Civil Society- sub-national or local||| Individuals or households,Behavioural/cultural||| Ecosystem-based||| Institutional, Other1||| General climate impacts, Food security||| Health & wellbeing||| Sustainable cities & communities||| Consumption & production
7851015, Other||| Private sector SMEs,Behavioural/cultural||| Technological/infrastructural||| Ecosystem-based, Other1, Industry/innovation/technology||| Consumption & production
7851019, Civil Society- international/multinational/national||| Individuals or households||| Other||| National government, Technological/infrastructural|||Behavioural/cultural, Other1|||Sea level rise, Health & wellbeing||| Food security|||Poverty
7851023, Other||| National government, Ecosystem-based, General climate impacts||| Drought||| Precipitation variability, Terrestrial & freshwater ecosystem services
7851024, Local government||| Sub-national government, Ecosystem-based||| Institutional,Sea level rise||| Increased frequency and intensity of extreme heat||| Rising ocean temperature and ocean acidification, Terrestrial & freshwater ecosystem services
7851025,International or multinational governance institutions||| Sub-national government||| National government, Ecosystem-based||| Institutional, Drought||| Precipitation variability||| General climate impacts, Terrestrial & freshwater ecosystem services
7851032, Private sector SMEs||| Individuals or households||| Local government, Technological/infrastructural||| Institutional, Extreme precipitation and inland flooding|||Sea level rise, Sustainable cities & communities||| Work and economic growth||| Industry/innovation/technology
7851033, Individuals or households, Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based, Extreme precipitation and inland flooding, Health & wellbeing||| Consumption & production||| Work and economic growth||| Inequalities (Other than gender)|||Poverty||| Other2
7851036, Individuals or households, Technological/infrastructural|||Behavioural/cultural, Other1, Consumption & production||| Clean water & sanitation||| Other2
7851037, Private sector SMEs||| National government||| Individuals or households, Technological/infrastructural, General climate impacts, Food security||| Consumption & production||| Work and economic growth
7851039, National government||| Private sector SMEs||| Local government||| Sub-national government, Institutional||| Technological/infrastructural, Drought||| Precipitation variability, Consumption & production||| Clean water & sanitation
7851041, National government||| Sub-national government||| Individuals or households,Behavioural/cultural, Extreme precipitation and inland flooding|||Sea level rise, Other2|||Poverty||| Sustainable cities & communities
7851042, National government||| Local government|||International or multinational governance institutions, Technological/infrastructural||| Institutional,Sea level rise||| Extreme precipitation and inland flooding, Health & wellbeing||| Sustainable cities & communities|||Poverty||| Other2
7851043, Civil Society- international/multinational/national||| Civil Society- sub-national or local||| Other,Behavioural/cultural||| Institutional, No information or not assessed1||| Extreme precipitation and inland flooding||| General climate impacts, Education||| Gender equality|||Poverty||| Clean water & sanitation||| Peace justice & strong institutions||| Sustainable cities & communities
7851045, Civil Society- sub-national or local||| Local government, Institutional||| Technological/infrastructural||| Ecosystem-based, Precipitation variability||| Other1, Clean water & sanitation||| Consumption & production
7851047, Individuals or households||| Other||| Civil Society- sub-national or local, Ecosystem-based||| Institutional|||Behavioural/cultural, Other1|||Sea level rise, Consumption & production||| Food security||| Marine & coastal ecosystem services|||Poverty||| Work and economic growth
7851049, Individuals or households, Ecosystem-based|||Behavioural/cultural, Precipitation variability||| Increased frequency and intensity of extreme heat||| General climate impacts||| Drought, Consumption & production||| Health & wellbeing||| Work and economic growth||| Food security
7851053, Individuals or households, Ecosystem-based|||Behavioural/cultural||| Technological/infrastructural, Extreme precipitation and inland flooding, Terrestrial & freshwater ecosystem services||| Work and economic growth||| Food security||| Sustainable cities & communities
7851057, Individuals or households, Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based, Drought||| Precipitation variability, Food security||| Consumption & production|||Poverty
7851058, Individuals or households,Behavioural/cultural||| Institutional,Sea level rise||| Precipitation variability||| General climate impacts, Consumption & production
7851061, Civil Society- sub-national or local||| Individuals or households||| Civil Society- international/multinational/national,Behavioural/cultural||| Ecosystem-based||| Institutional, Increased frequency and intensity of extreme heat||| General climate impacts||| Other1||| Precipitation variability, Food security||| Sustainable cities & communities||| Terrestrial & freshwater ecosystem services||| Peace justice & strong institutions||| Consumption & production||| Health & wellbeing
7851062, Individuals or households||| National government,Behavioural/cultural||| Institutional, General climate impacts, Other2
7851064, Individuals or households||| Local government,Behavioural/cultural||| Technological/infrastructural||| Ecosystem-based, Drought||| Precipitation variability, Food security
7851065,International or multinational governance institutions, Institutional, General climate impacts, Education|||Poverty||| Consumption & production
7851066, Local government||| Individuals or households||| Sub-national government, Technological/infrastructural|||Behavioural/cultural||| Institutional||| Ecosystem-based, Drought||| Precipitation variability, Food security||| Work and economic growth|||Poverty||| Consumption & production
7851067, Individuals or households||| Local government,Behavioural/cultural||| Technological/infrastructural, General climate impacts||| Increased frequency and intensity of extreme heat||| Drought||| Precipitation variability, No information or not assessed2||| Industry/innovation/technology||| Food security
7851068, Individuals or households,Behavioural/cultural, Drought, No information or not assessed2||| Food security
7851069, Individuals or households||| Civil Society- sub-national or local||| National government|||International or multinational governance institutions||| Civil Society- international/multinational/national||| Sub-national government||| Private sector SMEs,Behavioural/cultural||| Technological/infrastructural||| Institutional, Increased frequency and intensity of extreme heat||| Precipitation variability||| General climate impacts||| Extreme precipitation and inland flooding, Consumption & production||| Work and economic growth|||Poverty||| Gender equality
7851070, Individuals or households,Behavioural/cultural||| Ecosystem-based||| Technological/infrastructural, Extreme precipitation and inland flooding||| Precipitation variability||| Drought||| Increased frequency and intensity of extreme heat||| General climate impacts||| Other1,Poverty||| Food security||| Work and economic growth||| Consumption & production||| Terrestrial & freshwater ecosystem services
7851071, Individuals or households||| Local government||| Private sector SMEs||| Civil Society- sub-national or local||| National government,Behavioural/cultural||| Ecosystem-based, General climate impacts||| Rising ocean temperature and ocean acidification||| Other1||| No information or not assessed1, Health & wellbeing||| Marine & coastal ecosystem services||| Other2||| No information or not assessed2|||Poverty||| Education
7851073, Individuals or households, Technological/infrastructural|||Behavioural/cultural, Precipitation variability||| Increased frequency and intensity of extreme heat||| Drought||| Other1, Food security||| Consumption & production||| Industry/innovation/technology||| Sustainable cities & communities
7851074, Individuals or households,Behavioural/cultural||| Ecosystem-based, General climate impacts||| Other1||| No information or not assessed1, Food security||| Sustainable cities & communities||| Clean water & sanitation||| Terrestrial & freshwater ecosystem services||| Other2
7851075, National government||| Private sector corporations||| Sub-national government, Institutional, General climate impacts, Education
7851076, Local government||| Individuals or households||| Civil Society- sub-national or local, Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based||| Institutional,Sea level rise||| Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat||| Drought||| Precipitation variability, Food security|||Poverty||| Consumption & production||| Health & wellbeing||| Work and economic growth||| Gender equality
7851080, Individuals or households, Technological/infrastructural, Drought||| Other1, Food security||| Consumption & production||| Clean water & sanitation
7851081, Individuals or households,Behavioural/cultural, Extreme precipitation and inland flooding||| General climate impacts|||Sea level rise||| Other1, Education||| Other2||| Health & wellbeing
7851083,International or multinational governance institutions||| Individuals or households||| Private sector SMEs, Ecosystem-based|||Behavioural/cultural||| Technological/infrastructural, Drought||| Precipitation variability||| Extreme precipitation and inland flooding||| General climate impacts|||Increased frequency and intensity of extreme heat||| Other1 , No information or not assessed2
7851084, Individuals or households,Behavioural/cultural||| Technological/infrastructural, Drought||| Precipitation variability||| General climate impacts,Poverty||| Food security||| Work and economic growth
7851085, Individuals or households||| National government||| Sub-national government||| Civil Society- international/multinational/national|||International or multinational governance institutions||| Local government,Behavioural/cultural||| Technological/infrastructural||| Ecosystem-based, General climate impacts||| Precipitation variability||| Other1, Consumption & production||| Food security||| Other2||| Education||| Health & wellbeing||| Clean water & sanitation
7851087,No information or not assessed3, Ecosystem-based|||Behavioural/cultural, General climate impacts||| Drought, No information or not assessed2
7851088, Individuals or households||| Civil Society- international/multinational/national, Technological/infrastructural||| Institutional|||Behavioural/cultural, Drought, Food security||| Consumption & production
